"Идентификатор";"Элемент";"Корпус";"Количество";"Номинал";"Supplier and ref";
1;"P6,P9,P7,P8";"1pin";4;"CONN_1";;;
2;"D2";"SOD123";1;"1N5819(S4SOD-123)";;;
3;"D1";"LED-0603";1;"LED/0603";;;
4;"C3,C2,C1";"SM0603_Capa";3;"100nF";;;
5;"U6,U7";"SOT23-5";2;"SY8008BAAC";;;
6;"L5,L1,L2,L4,L3";"CD32";5;"2.2uH/1.5A/DCR<0.1R/CD32";;;
7;"R17,R18,R19,R20,R22,R42,R43,R21";"SM0402";8;"22R";;;
8;"R50";"SM0402";1;"240R/1%";;;
9;"C5,C6,C60,C61,C56,C69,C52,C45,C4,C7,C67,C55,C47";"SM0402";13;"100nF";;;
10;"C78,C59,C68,C46,C48";"SM0402";5;"10uF/6.3V";;;
11;"C66,C58,C44";"SM0402";3;"22uF/6.3V";;;
12;"C70";"SM0402";1;"1uF";;;
13;"X1";"C5032";1;"CRYSTAL4";;;
14;"C53,C20,C38,C13,C12,C11,C82,C62,C24,C49,C28,C21,C22,C26,C23,C27,C33,C34,C35,C37,C36";"SM0603A";21;"10uF/6.3V";;;
15;"C16";"SM0603A";1;"NA(22uF/6.3V)";;;
16;"C15,C10,C9,C81,C8,C54,C65,C64,C50,C43,C57,C71";"SM0603A";12;"100nF";;;
17;"C14";"SM0603A";1;"NA(100nF)";;;
18;"C18,C17,C51,C32";"SM0603A";4;"1uF";;;
19;"C19,C74,C72,C75,C73,C30,C31,C76";"SM0603A";8;"1nF";;;
20;"C79,C80";"SM0603A";2;"33pF";;;
21;"C77";"SM0603A";1;"3.3nF";;;
22;"C63,C40,C41,C29,C42";"SM0603A";5;"22uF/6.3V";;;
23;"C39";"SM0603A";1;"22pF";;;
24;"C25";"SM0603A";1;"47pF";;;
25;"R66";"SM0603A";1;"3.3k/1%";;;
26;"R56";"SM0603A";1;"NA(10k)";;;
27;"R62,R6,R5,R59,R60,R61,R58";"SM0603A";7;"2.2k";;;
28;"R49,R53,R2";"SM0603A";3;"240R/1%";;;
29;"R67";"SM0603A";1;"4.99k/1%";;;
30;"R3,R4";"SM0603A";2;"47k";;;
31;"R55,R54";"SM0603A";2;"1R";;;
32;"R1,R57";"SM0603A";2;"200k/1%";;;
33;"R65";"SM0603A";1;"0.03R/1%";;;
34;"R64";"SM0603A";1;"100k/1%";;;
35;"R63";"SM0603A";1;"22k/1%";;;
36;"R51,R52";"SM0603A";2;"2k/1%";;;
37;"P4,P2,P3,P5,P1";"CONN20-1.27zzz";5;"CONN_20";;;
38;"U2";"allwinner_a13-OLIMEX_IC_TQFP176";1;"A13";;;
39;"RA1,RA18,RA17,RA15,RA14,RA13,RA11,RA9,RA2,RA4,RA3,RA5,RA7,RA6,RA8,RA10,RA19";"RN4x0402";17;"RA4X0402";;;
40;"U1";"TSOP48";1;"H27UBG8T2A/TSOP48";;;
41;"U4,U3";"BGA78";2;"H5TQ2G43CFR";;;
42;"U5";"QFN48+1";1;"OLIMEX_IC_AXP209";;;
